,rating,title,genres,genres.1,genres.2,% budget recovered,% of gross from domestic,% of gross from international,budget (m),decade,domestic gross (m),international gross (m),worldwide gross,worldwide gross (m),x times budget recovered,year
100909,,Casino Royale,,,,411%,27.2%,72.8%,150.0,2000's,167.0,449.0,"616,502,912",617.0,4.1,2006.0
100910,,Cast Away,,,,477%,54.4%,45.6%,90.0,2000's,234.0,196.0,"429,632,142",430.0,4.8,2000.0
100911,,Catch Me If You Can,,,,677%,46.8%,53.2%,52.0,2000's,165.0,187.0,"352,114,312",352.0,6.8,2002.0
100912,,Charlie and the Chocolate Factory,,,,317%,43.5%,56.5%,150.0,2000's,206.0,269.0,"474,968,763",475.0,3.2,2005.0
100913,,Chernobyl Diaries,,,,3716%,48.8%,51.2%,1.0,2010's,18.0,190.0,"37,157,648",37.0,37.2,2012.0
100914,,Chicken Little,,,,210%,43.1%,56.9%,150.0,2000's,135.0,179.0,"314,432,837",314.0,2.1,2005.0
100915,,Chronicle,,,,1055%,51.0%,49.0%,12.0,2010's,64.0,621.0,"126,636,097",127.0,10.6,2012.0
100916,,Cinderella,,,,571%,37.1%,62.9%,95.0,2010's,201.0,341.0,"542,358,331",542.0,5.7,2015.0
100917,,Clash of the Titans,,,,395%,33.1%,66.9%,125.0,2010's,163.0,330.0,"493,214,993",493.0,3.9,2010.0
100918,,Coco,,,,359%,26.0%,74.0%,225.0,2010's,210.0,597.0,"807,817,888",808.0,3.6,2017.0
100919,,Crocodile Dundee,,,,3282%,53.3%,46.7%,10.0,1980's,175.0,153.0,"328,203,506",328.0,32.8,1986.0
100920,,Dallas Buyers Club,,,,1104%,49.5%,50.5%,5.0,2010's,27.0,279.0,"55,198,285",55.0,11.0,2013.0
100921,,Dances with Wolves,,,,1928%,43.4%,56.6%,22.0,1990's,184.0,240.0,"424,208,848",424.0,19.3,1990.0
100922,,Dawn of the Planet of the Apes,,,,418%,29.4%,70.6%,170.0,2010's,209.0,502.0,"710,644,566",711.0,4.2,2014.0
100923,,Deadpool,,,,1350%,46.4%,53.6%,58.0,2010's,363.0,420.0,"782,836,791",783.0,13.5,2016.0
100924,,Deadpool 2,,,,714%,41.3%,58.7%,110.0,2010's,325.0,461.0,"785,896,609",786.0,7.1,2018.0
100925,,Deep Impact,,,,437%,40.2%,59.8%,80.0,1990's,140.0,209.0,"349,464,664",349.0,4.4,1998.0
100926,,Despicable Me,,,,787%,46.3%,53.7%,69.0,2010's,252.0,292.0,"543,157,985",543.0,7.9,2010.0
100927,,Despicable Me 2,,,,1245%,37.9%,62.1%,78.0,2010's,368.0,603.0,"970,766,005",971.0,12.4,2013.0
100928,,Despicable Me 3,,,,1294%,25.6%,74.4%,80.0,2010's,265.0,770.0,"1,034,800,131",1035.0,12.9,2017.0
100929,,Die Another Day,,,,304%,37.3%,62.7%,142.0,2000's,161.0,271.0,"431,971,116",432.0,3.0,2002.0
100930,,Die Hard with a Vengeance,,,,407%,27.3%,72.7%,90.0,1990's,100.0,266.0,"366,101,666",366.0,4.1,1995.0
100931,,Dinosaur,,,,280%,39.4%,60.6%,125.0,2000's,138.0,212.0,"349,822,765",350.0,2.8,2000.0
100932,,Django Unchained,,,,426%,38.2%,61.8%,100.0,2010's,163.0,263.0,"426,074,373",426.0,4.3,2012.0
100933,,Don Jon,,,,1015%,80.4%,19.6%,3.0,2010's,24.0,60.0,"30,450,756",30.0,10.2,2013.0
100934,,Don’t Breathe,,,,1542%,58.3%,41.7%,9.9,2010's,89.0,636.0,"152,697,239",153.0,15.4,2016.0
100935,,Dope,,,,2569%,97.3%,2.7%,0.7,2010's,17.0,5.0,"17,986,470",18.0,25.7,2015.0
100936,,Downton Abbey,,,,1094%,52.0%,48.0%,17.0,2010's,96.0,892.0,"185,922,715",185.9,10.9,2019.0
100937,,Dr Strange,,,,411%,34.3%,65.7%,165.0,2010's,233.0,445.0,"677,796,076",678.0,4.1,2016.0
100938,,Dr Strange: Multiverse of Madness,,,,478%,43.0%,57.0%,200.0,2020's,411.0,544.0,"955,775,804",956.0,4.8,2022.0
100939,,Dragon Ball Super: Broly,,,,1219%,29.6%,70.4%,8.5,2010's,30.0,729.0,"103,627,891",103.6,12.2,2019.0
100940,,Dumbo,,,,208%,32.5%,67.5%,170.0,2010's,115.0,239.0,"353,284,621",353.0,2.1,2019.0
100941,,Dune,,,,244%,27.0%,73.0%,165.0,2020's,108.0,294.0,"401,847,900",402.0,2.4,2021.0
100942,,Dunkirk,,,,527%,36.0%,64.0%,100.0,2010's,190.0,337.0,"527,016,307",527.0,5.3,2017.0
100943,,E.T.,,,,7552%,55.1%,44.9%,10.5,1980's,437.0,356.0,"792,910,554",793.0,75.5,1982.0
100944,,Edge of Tomorrow,,,,208%,27.0%,73.0%,178.0,2010's,100.0,270.0,"370,541,256",371.0,2.1,2014.0
100945,,Empire Strikes Back,,,,1737%,54.4%,45.6%,31.0,1980's,293.0,246.0,"538,375,067",538.0,17.4,1980.0
100946,,Enchanted,,,,401%,37.5%,62.5%,85.0,2000's,128.0,213.0,"340,487,836",340.0,4.0,2007.0
100947,,Escape Room,,,,1705%,37.1%,62.9%,9.0,2010's,56.0,965.0,"153,411,208",153.4,17.0,2019.0
100948,,Eternals,,,,201%,41.0%,59.0%,200.0,2020's,165.0,237.0,"402,064,899",402.0,2.0,2021.0
100949,,F9: The Fast Saga,,,,363%,23.8%,76.2%,200.0,2020's,173.0,553.0,"726,229,501",726.0,3.6,2021.0
100950,,Fantastic Beasts and Where to Find Them,,,,407%,28.8%,71.2%,200.0,2010's,234.0,580.0,"814,044,001",814.0,4.1,2016.0
100951,,Fantastic Beasts: The Crimes of Grindelwald,,,,327%,24.4%,75.6%,200.0,2010's,160.0,495.0,"654,855,901",655.0,3.3,2018.0
100952,,Fantastic Beasts: The Secrets of Dumbledore,,,,203%,23.7%,76.3%,200.0,2020's,96.0,309.0,"405,161,334",405.0,2.0,2022.0
100953,,Fantastic Four,,,,278%,46.4%,53.6%,120.0,2000's,155.0,179.0,"333,535,934",334.0,2.8,2005.0
100954,,Fast & Furious,,,,424%,43.0%,57.0%,85.0,2000's,155.0,205.0,"360,366,870",360.0,4.2,2009.0
100955,,Fast & Furious 6,,,,493%,30.3%,69.7%,160.0,2010's,239.0,550.0,"788,680,968",789.0,4.9,2013.0
100956,,Fast Five,,,,501%,33.5%,66.5%,125.0,2010's,210.0,416.0,"626,137,675",626.0,5.0,2011.0
100957,,Fatal Attraction,,,,2287%,48.9%,51.1%,14.0,1980's,157.0,164.0,"320,145,693",320.0,22.9,1987.0
100958,,Fifty Shades Darker,,,,694%,30.0%,70.0%,55.0,2010's,115.0,267.0,"381,545,846",382.0,6.9,2017.0
100959,,Fifty Shades Freed,,,,676%,27.0%,73.0%,55.0,2010's,100.0,272.0,"371,985,018",372.0,6.8,2018.0
100960,,Fifty Shades of Grey,,,,1424%,29.2%,70.8%,40.0,2010's,166.0,403.0,"569,651,467",570.0,14.2,2015.0
100961,,Finding Dory,,,,514%,47.3%,52.7%,200.0,2010's,486.0,542.0,"1,028,570,942",1029.0,5.1,2016.0
100962,,Finding Nemo,,,,1000%,40.5%,59.5%,94.0,2000's,381.0,560.0,"940,352,645",940.0,10.0,2003.0
100963,,Fireproof,,,,6696%,99.9%,0.1%,0.5,2000's,33.0,0.0,"33,480,000",33.0,67.0,2008.0
100964,,Forrest Gump,,,,1233%,48.7%,51.3%,55.0,1990's,330.0,348.0,"678,226,465",678.0,12.3,1994.0
100965,,Free Guy,,,,265%,36.7%,63.3%,125.0,2020's,122.0,210.0,"331,526,598",332.0,2.7,2021.0
100966,,Frozen,,,,870%,30.7%,69.3%,150.0,2010's,401.0,904.0,"1,304,550,716",1305.0,8.7,2013.0
100967,,Frozen II,,,,967%,32.9%,67.1%,150.0,2010's,477.0,973.0,"1,450,026,933",1450.0,9.7,2019.0
100968,,Furious 7,,,,798%,23.3%,76.7%,190.0,2010's,353.0,1162.0,"1,515,341,399",1515.0,8.0,2015.0
100969,,G.I. Joe: Retaliation,,,,289%,32.6%,67.4%,130.0,2010's,123.0,253.0,"375,740,705",376.0,2.9,2013.0
100970,,Get Out,,,,5652%,69.0%,31.0%,4.5,2010's,175.0,788.0,"254,329,516",254.0,56.5,2017.0
100971,,Ghost,,,,2199%,43.0%,57.0%,23.0,1990's,218.0,288.0,"505,703,557",506.0,22.0,1990.0
100972,,Gladiator,,,,452%,40.3%,59.7%,103.0,2000's,188.0,278.0,"465,380,802",465.0,4.5,2000.0
100973,,Glass,,,,1235%,45.0%,55.0%,20.0,2010's,111.0,1359.0,"246,908,596",246.9,12.3,2019.0
100974,,God's Not Dead,,,,3132%,97.0%,3.0%,2.0,2010's,60.0,19.0,"62,630,732",63.0,31.3,2014.0
100975,,Godzilla,,,,328%,38.2%,61.8%,160.0,2010's,201.0,324.0,"524,976,069",525.0,3.3,2014.0
100976,,Godzilla,,,,253%,36.0%,64.0%,150.0,1990's,136.0,243.0,"379,014,294",379.0,2.5,1998.0
100977,,Godzilla vs. Kong,,,,235%,21.5%,78.5%,200.0,2020's,101.0,369.0,"470,067,014",470.0,2.4,2021.0
100978,,Godzilla: King of the Monsters,,,,227%,28.6%,71.4%,170.0,2010's,111.0,276.0,"386,600,138",387.0,2.3,2019.0
100979,,GoldenEye,,,,587%,30.2%,69.8%,60.0,1990's,106.0,246.0,"352,194,034",352.0,5.9,1995.0
100980,,Gone Girl,,,,605%,45.4%,54.6%,61.0,2010's,168.0,202.0,"369,330,363",369.0,6.1,2014.0
100981,,Grandma,,,,1140%,98.5%,1.5%,0.6,2010's,6.0,1.0,"6,841,296",7.0,11.4,2015.0
100982,,Gravity,,,,723%,37.9%,62.1%,100.0,2010's,274.0,449.0,"723,192,705",723.0,7.2,2013.0
100983,,Grease,,,,6605%,48.0%,52.0%,6.0,1970's,190.0,206.0,"396,271,103",396.0,66.0,1978.0
100984,,Green Book,,,,1399%,26.4%,73.6%,23.0,2010's,85.0,237.0,"321,752,656",322.0,14.0,2018.0
100985,,Guardians of the Galaxy,,,,455%,43.2%,56.8%,170.0,2010's,334.0,440.0,"773,350,147",773.0,4.5,2014.0
100986,,Guardians of the Galaxy Vol. 2,,,,432%,45.1%,54.9%,200.0,2010's,390.0,474.0,"863,756,051",864.0,4.3,2017.0
100987,,Halloween ,,,,2537%,62.8%,37.2%,10.0,2010's,159.0,943.0,"253,679,925",254.0,25.4,2018.0
100988,,Hancock,,,,420%,36.2%,63.8%,150.0,2000's,228.0,401.0,"629,443,428",629.0,4.2,2008.0
100989,,Hannibal,,,,404%,46.9%,53.1%,87.0,2000's,165.0,187.0,"351,692,268",352.0,4.0,2001.0
100990,,Happy Death Day,,,,2341%,49.5%,50.5%,4.8,2010's,55.0,567.0,"112,381,005",112.0,23.4,2017.0
100991,,Happy Feet,,,,384%,51.5%,48.5%,100.0,2000's,198.0,186.0,"384,336,108",384.0,3.8,2006.0
100992,,Harry Potter & the Goblet of Fire,,,,598%,32.4%,67.6%,150.0,2000's,290.0,606.0,"896,815,106",897.0,6.0,2005.0
100993,,Harry Potter & the Order of the Phoenix,,,,628%,31.0%,69.0%,150.0,2000's,292.0,650.0,"942,218,425",942.0,6.3,2007.0
100994,,Harry Potter & the Prisoner of Azkaban,,,,614%,31.4%,68.6%,130.0,2000's,250.0,548.0,"797,660,766",798.0,6.1,2004.0
100995,,Harry Potter & the Sorcerer's Stone,,,,819%,31.2%,68.8%,125.0,2000's,319.0,705.0,"1,023,842,938",1024.0,8.2,2001.0
100996,,Harry Potter and the Chamber of Secrets,,,,903%,29.1%,70.9%,100.0,2000's,263.0,640.0,"902,746,596",903.0,9.0,2002.0
100997,,Harry Potter and the Deathly Hallows: Part 1,,,,782%,30.3%,69.7%,125.0,2010's,296.0,681.0,"977,070,383",977.0,7.8,2010.0
100998,,Harry Potter and the Deathly Hallows: Part 2,,,,1074%,28.4%,71.6%,125.0,2010's,381.0,961.0,"1,342,359,942",1342.0,10.7,2011.0
100999,,Harry Potter and the Half-Blood Prince,,,,374%,32.4%,67.6%,250.0,2000's,302.0,632.0,"934,483,039",934.0,3.7,2009.0
101000,,"Hello, My Name is Doris",,,,2896%,99.3%,0.7%,1.0,2010's,28.0,2.0,"28,962,889",29.0,29.0,2016.0
101001,,High School Musical 3,,,,2299%,35.8%,64.2%,11.0,2000's,90.0,1624.0,"252,910,000",253.0,23.0,2008.0
101002,,Hitch,,,,531%,48.3%,51.7%,70.0,2000's,179.0,192.0,"371,594,210",372.0,5.3,2005.0
101003,,Hobbs & Shaw,,,,380%,22.9%,77.1%,200.0,2010's,174.0,587.0,"760,732,926",761.0,3.8,2019.0
101004,,Home,,,,286%,46.0%,54.0%,135.0,2010's,177.0,209.0,"386,041,607",386.0,2.9,2015.0
101005,,Home Alone,,,,2648%,60.0%,40.0%,18.0,1990's,286.0,191.0,"476,684,675",477.0,26.5,1990.0
101006,,Home Alone 2,,,,1282%,48.4%,51.6%,28.0,1990's,174.0,185.0,"358,994,850",359.0,12.8,1992.0
101007,,Hotel Transylvania,,,,422%,41.4%,58.6%,85.0,2010's,148.0,210.0,"358,375,603",358.0,4.2,2012.0
101008,,Hotel Transylvania 2,,,,594%,35.7%,64.3%,80.0,2010's,170.0,305.0,"475,186,706",475.0,5.9,2015.0
101009,,Hotel Transylvania 3: Summer Vacation,,,,661%,31.7%,68.3%,80.0,2010's,168.0,361.0,"528,583,774",529.0,6.6,2018.0
101010,,How the Grinch Stole Christmas,,,,281%,75.4%,24.6%,123.0,2000's,261.0,85.0,"345,823,032",346.0,2.8,2000.0
101011,,How to Train Your Dragon,,,,300%,44.0%,56.0%,165.0,2010's,218.0,277.0,"494,879,471",495.0,3.0,2010.0
101012,,How to Train Your Dragon 2,,,,429%,28.5%,71.5%,145.0,2010's,177.0,445.0,"621,537,519",622.0,4.3,2014.0
101013,,How to Train Your Dragon: The Hidden World,,,,407%,30.7%,69.3%,129.0,2010's,161.0,364.0,"524,580,592",525.0,4.1,2019.0
101014,,I Am Legend,,,,390%,43.8%,56.2%,150.0,2000's,256.0,329.0,"585,410,052",585.0,3.9,2007.0
101015,,I Can Only Imagine,,,,1193%,100.0%,0.0%,7.0,2010's,83.0,0.0,"83,482,352",83.0,11.9,2018.0
101016,,"I, Robot",,,,294%,41.0%,59.0%,120.0,2000's,145.0,208.0,"353,133,898",353.0,2.9,2004.0
101017,,Ice Age,,,,639%,46.0%,54.0%,60.0,2000's,176.0,207.0,"383,257,136",383.0,6.4,2002.0
101018,,Ice Age: Collision Course,,,,389%,15.7%,84.3%,105.0,2010's,64.0,345.0,"408,754,975",409.0,3.9,2016.0
101019,,Ice Age: Continental Drift,,,,923%,18.4%,81.6%,95.0,2010's,161.0,716.0,"877,244,782",877.0,9.2,2012.0
101020,,Ice Age: Dawn of the Dinosaurs,,,,985%,22.2%,77.8%,90.0,2000's,197.0,690.0,"886,686,817",887.0,9.9,2009.0
101021,,Ice Age: The Meltdown,,,,834%,29.3%,70.7%,80.0,2000's,195.0,472.0,"667,094,506",667.0,8.3,2006.0
101022,,Inception,,,,523%,35.0%,65.0%,160.0,2010's,293.0,544.0,"836,848,102",837.0,5.2,2010.0
101023,,Incredibles 2,,,,622%,49.0%,51.0%,200.0,2010's,609.0,635.0,"1,243,089,244",1243.0,6.2,2018.0
101024,,Independence Day,,,,1090%,37.5%,62.5%,75.0,1990's,306.0,511.0,"817,400,891",817.0,10.9,1996.0
101025,,Independence Day: Resurgence,,,,236%,26.5%,73.5%,165.0,2010's,103.0,287.0,"389,681,935",390.0,2.4,2016.0
